,company,location,title,salary,link,skills
73,Splunk,Senior Data Engineer,"New York, NY 10001 (Chelsea area)",Not specified,https://www.indeed.com/rc/clk?jk=efa6304a0fe5b4bc&fccid=aef928e89977f7f0&vjs=3,"{'SQL', 'TABLEAU'}"
74,Swiss Re,Expert Data Engineer,"Armonk, NY 10504",Not specified,https://www.indeed.com/rc/clk?jk=f366c8ee94d88353&fccid=ce527f971de2a93a&vjs=3,{'SQL'}
75,Remesh,"Software Engineer, Data Visualization",New York State,Not specified,https://www.indeed.com/rc/clk?jk=2ff52aeedca52ab0&fccid=f89f8382df33b93c&vjs=3,{'R'}
76,Crowdskout,Data Engineer,New York State,Not specified,https://www.indeed.com/rc/clk?jk=7d1a746a0be6a299&fccid=09ecd174e9740b94&vjs=3,{'SQL'}
77,ITI Data,BIGDATA & PYSPARK DATA ENGINEER,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=f23626946ed148e2&fccid=a0b82093ebac2748&vjs=3,{'SQL'}
78,Major League Baseball,Business Intelligence Data Engineer,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=3165a42d33240fc9&fccid=6262eae176df0db9&vjs=3,{'SQL'}
79,Mindshare,Data Engineer,"New York, NY 10018 (Garment District area)",Not specified,https://www.indeed.com/rc/clk?jk=5092a73877f2e8fa&fccid=7c09b9795120f0d4&vjs=3,"{'R', 'SQL', 'TABLEAU'}"
80,Teachable,Data Engineer,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=80505c152b34ae33&fccid=7c07af204e67482c&vjs=3,{'SQL'}
81,Facebook,"Data Engineer, Product Analytics","New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=200aa7e08feff8a0&fccid=1639254ea84748b5&vjs=3,{'SQL'}
82,MightyHive,"Technical Solutions Engineer, Data","New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=6063b03311c798d4&fccid=467aefff3a9cf758&vjs=3,"{'SQL', 'TABLEAU'}"
83,Splunk,"Data Engineer, DevOps - Remote OK","New York, NY 10001 (Chelsea area)",Not specified,https://www.indeed.com/rc/clk?jk=866435d5946019c4&fccid=aef928e89977f7f0&vjs=3,{'SQL'}
84,Etsy,"Software Engineer, Data Privacy","Brooklyn, NY 11201",Not specified,https://www.indeed.com/rc/clk?jk=a1e3d4de5e373c95&fccid=9ecb91618c39a24f&vjs=3,set()
